,latitude,longitude
France,46.603354,1.8883335
Micronesia (Federated States of),38.9073892,-77.0405464
Georgia,32.3293809,-83.1137366
Ghana,8.0300284,-1.0800271
Guinea,10.7226226,-10.7083587
Gambia (the),13.470062,-15.4900464
Equatorial Guinea,1.613172,10.5170357
Greece,38.9953683,21.9877132
French Guiana,4.0039882,-52.999998
Hong Kong,22.2793278,114.1628131
Croatia,45.3658443,15.6575209
Haiti,19.1399952,-72.3570972
Hungary,47.1817585,19.5060937
Ireland,52.865196,-7.9794599
Iraq,33.0955793,44.1749775
Iceland,64.9841821,-18.1059013
Israel,30.8124247,34.8594762
Italy,42.6384261,12.674297
Jamaica,18.1850507,-77.3947693
Jordan,31.1667049,36.941628
Kazakhstan,48.1012954,66.7780818
Kenya,1.4419683,38.4313975
Kyrgyzstan,41.5089324,74.724091
Cambodia,12.5433216,104.8144914
Korea (the Republic of),51.50052685,-0.1836646513955968
Lao People's Democratic Republic (the),20.0171109,103.378253
Lebanon,33.8750629,35.843409
Liberia,5.7499721,-9.3658524
Libya,26.8234472,18.1236723
Lesotho,-29.6039267,28.3350193
Latvia,56.8406494,24.7537645
Morocco,31.1728205,-7.3362482
Moldova (the Republic of),46.6745434,29.7521996
Marshall Islands (the),38.914925749999995,-77.05386566469278
Mali,16.3700359,-2.2900239
Mozambique,-19.302233,34.9144977
Mauritania,20.2540382,-9.2399263
Malawi,-13.2687204,33.9301963
Malaysia,4.5693754,102.2656823
Namibia,-23.2335499,17.3231107
Niger (the),38.91239955,-77.04918123122238
Nigeria,9.6000359,7.9999721
Netherlands (the),51.2365585,-0.48976
Norway,61.1529386,8.7876653
Nepal,28.1083929,84.0917139
New Zealand,-41.5000831,172.8344077
Pakistan,30.3308401,71.247499
Myanmar,17.1750495,95.9999652
Peru,-6.8699697,-75.0458515
Philippines (the),38.907488,-77.03813305272263
Russian Federation (the),64.6863136,97.7453061
United States of America (the),29.6330078,-97.98859404468138
Papua New Guinea,-5.6816069,144.2489081
Zambia,-14.5189121,27.5589884
South Africa,-28.8166236,24.991639
Turkey,38.9597594,34.9249653
Korea (the Democratic People's Republic of),51.50313895,-0.2892386116950168
Panama,8.559559,-81.1308434
Poland,52.215933,19.134422
Puerto Rico,18.2247706,-66.4858295
Portugal,39.6621648,-8.1353519
Paraguay,-23.3165935,-58.1693445
Réunion,-21.130737949999997,55.536480112992315
Romania,45.9852129,24.6859225
Rwanda,-1.9646631,30.0644358
Saudi Arabia,25.6242618,42.3528328
Sudan (the),38.9113694,-77.04949316510118
Senegal,14.4750607,-14.4529612
Singapore,1.357107,103.8194992
Sierra Leone,8.6400349,-11.8400269
El Salvador,13.8000382,-88.9140683
Somalia,8.3676771,49.083416
Serbia Montenegro,42.4516555,18.5377805
Slovakia,48.7411522,19.4528646
Eswatini,-26.5624806,31.3991317
Syrian Arab Republic,34.6401861,39.0494106
Chad,15.6134137,19.0156172
Thailand,14.8971921,100.83273
Tajikistan,38.6281733,70.8156541
Turkmenistan,39.3763807,59.3924609
Tunisia,33.8439408,9.400138
Tuvalu,-8.6405212,179.1582918181797
"Tanzania, United Republic of",-6.5247123,35.7878438
Uganda,1.5333554,32.2166578
Ukraine,49.4871968,31.2718321
Uruguay,-32.8755548,-56.0201525
Uzbekistan,41.32373,63.9528098
Venezuela (Bolivarian Republic of),8.0018709,-66.1109318
Viet Nam,15.9266657,107.9650855
Yemen,16.3471243,47.8915271
Congo (the Democratic Republic of the),-2.9814344,23.8222636
Zimbabwe,-18.4554963,29.7468414
Suriname,4.1413025,-56.0771187
Vanuatu,-16.5255069,168.1069154
Netherlands Antilles,12.1845,-68.6607922625
United Arab Emirates (the),38.9449546,-77.06925771192749
Bahamas (the),38.91153185,-77.04983813278284
Albania,41.000028,19.9999619
Belgium,50.6402809,4.6667145
Barbados,13.1500331,-59.5250305
Cook Islands (the),44.4077417,-75.8997122
Cayman Islands (the),19.7282139,-79.81094641156345
Denmark,55.670249,10.3333283
Dominican Republic (the),38.9135752,-77.0483831
Estonia,58.7523778,25.3319078
Gabon,-0.8999695,11.6899699
Guadeloupe,16.2528827,-61.5686855
Lithuania,55.3500003,23.7499997
Grenada,12.1360374,-61.6904045
Cabo Verde,16.0000552,-24.0083947
Comoros (the),-33.8852539,151.2090787
Guinea-Bissau,11.815215,-15.2351044
Guam,13.450125700000001,144.75755102972062
Kuwait,29.2733964,47.4979476
Luxembourg,49.8158683,6.1296751
Macao,22.1899448,113.5380454
Mauritius,-20.2759451,57.5703566
"Saint Helena, Ascension and Tristan da Cunha",-15.9694573,-5.7129442
Canary Is,44.8935466,-91.92585569378767
Togo,8.7800265,1.0199765
Tonga,-19.9160819,-175.202642
Samoa,-13.7693895,-172.12005
Timor-Leste,-8.7443169,126.063482
Solomon Islands,-8.7053941,159.1070693851845
Oman,21.0000287,57.0036901
Sweden,59.6749712,14.5208584
Seychelles,-4.6574977,55.4540146
Saint Vincent and the Grenadines,12.90447,-61.2765569
Northern Mariana Islands (the),15.209878400000001,145.77829769793766
American Samoa,-14.297124,-170.7131481
New Caledonia,-21.3019905,165.4880773
Eritrea,15.9500319,37.9999668
Dominica,19.0974031,-70.3028026
Finland,63.2467777,25.9209164
Saint Lucia,13.8250489,-60.975036
Guyana,4.8417097,-58.6416891
Slovenia,46.1199444,14.8153333
Maldives,3.7203503,73.2244152
Malta,35.8885993,14.4476911
Niue,-19.0536414,-169.861341
Turks and Caicos Islands (the),18.0491355,-76.792536
Trinidad and Tobago,10.7466905,-61.0840075
Tokelau,-9.1676396,-171.819687
Sao Tome and Principe,0.9713095,7.02255
Montserrat,16.7417041,-62.1916844
Antigua and Barbuda,17.2234721,-61.9554608
Martinique,14.6367927,-61.01582685063731
French Polynesia,-17.0243749,-144.6434898
Kiribati,0.3448612,173.6641773
Saint Kitts and Nevis,17.250512,-62.6725973
Montenegro,42.9868853,19.5180992
Serbia,44.1534121,20.55144
Mayotte,-12.825543,45.148490830203045
South Sudan,7.8699431,29.6667897
Qatar,25.3336984,51.2295295
Palau,5.3783537,132.9102573
Wallis and Futuna,-13.289402,-176.204224
Anguilla,18.1954947,-63.0750234
Saint Barthélemy,17.9036287,-62.81152921501989
Virgin Island (British),49.197337,-123.177752
Saint Martin (French Part),18.0814066,-63.0467131
Sint Maarten (Dutch part),18.0155138,-63.045102334856175
Curaçao,12.21339425,-69.0408499890865
Isle of Man,54.1936805,-4.5591148
Macedonia,41.6171214,21.7168387
Taiwan,23.9739374,120.9820179
Palestine,31.462420950000002,34.262716572130714
